algorithm,seed,episode,cumulative_steps,eval_return,eval_return_std,eval_success_rate,eval_episode_length
SARSA,0,1,500,-500.0,0.0,0.0,500.0
SARSA,0,20,3817,-500.0,0.0,0.0,500.0
SARSA,0,40,5289,-500.0,0.0,0.0,500.0
SARSA,0,60,6477,-500.0,0.0,0.0,500.0
SARSA,0,80,7471,-500.0,0.0,0.0,500.0
SARSA,0,100,8502,-500.0,0.0,0.0,500.0
SARSA,0,120,9334,-500.0,0.0,0.0,500.0
SARSA,0,140,10026,-500.0,0.0,0.0,500.0
SARSA,0,160,10649,-500.0,0.0,0.0,500.0
SARSA,0,180,11235,-500.0,0.0,0.0,500.0
SARSA,0,200,11828,-15.0,0.0,1.0,15.0
SARSA,0,220,12302,-500.0,0.0,0.0,500.0
SARSA,0,240,12825,-500.0,0.0,0.0,500.0
SARSA,0,260,13296,-500.0,0.0,0.0,500.0
SARSA,0,280,13726,-500.0,0.0,0.0,500.0
SARSA,0,300,14150,-15.0,0.0,1.0,15.0
SARSA,0,320,14539,-500.0,0.0,0.0,500.0
SARSA,0,340,14919,-15.0,0.0,1.0,15.0
SARSA,0,360,15285,-15.0,0.0,1.0,15.0
SARSA,0,380,15665,-500.0,0.0,0.0,500.0
SARSA,0,400,16074,-500.0,0.0,0.0,500.0
SARSA,0,420,16468,-17.0,0.0,1.0,17.0
SARSA,0,440,16845,-17.0,0.0,1.0,17.0
SARSA,0,460,17218,-17.0,0.0,1.0,17.0
SARSA,0,480,17561,-15.0,0.0,1.0,15.0
SARSA,0,500,17918,-17.0,0.0,1.0,17.0
SARSA,1,1,500,-500.0,0.0,0.0,500.0
SARSA,1,20,4057,-500.0,0.0,0.0,500.0
SARSA,1,40,5625,-500.0,0.0,0.0,500.0
SARSA,1,60,6760,-500.0,0.0,0.0,500.0
SARSA,1,80,7785,-500.0,0.0,0.0,500.0
SARSA,1,100,8587,-500.0,0.0,0.0,500.0
SARSA,1,120,9401,-500.0,0.0,0.0,500.0
SARSA,1,140,10121,-500.0,0.0,0.0,500.0
SARSA,1,160,10685,-500.0,0.0,0.0,500.0
SARSA,1,180,11355,-500.0,0.0,0.0,500.0
SARSA,1,200,11829,-15.0,0.0,1.0,15.0
SARSA,1,220,12226,-500.0,0.0,0.0,500.0
SARSA,1,240,12627,-17.0,0.0,1.0,17.0
SARSA,1,260,13101,-500.0,0.0,0.0,500.0
SARSA,1,280,13554,-500.0,0.0,0.0,500.0
SARSA,1,300,13921,-500.0,0.0,0.0,500.0
SARSA,1,320,14281,-15.0,0.0,1.0,15.0
SARSA,1,340,14689,-17.0,0.0,1.0,17.0
SARSA,1,360,15115,-17.0,0.0,1.0,17.0
SARSA,1,380,15522,-17.0,0.0,1.0,17.0
SARSA,1,400,15932,-17.0,0.0,1.0,17.0
SARSA,1,420,16331,-17.0,0.0,1.0,17.0
SARSA,1,440,16701,-17.0,0.0,1.0,17.0
SARSA,1,460,17113,-17.0,0.0,1.0,17.0
SARSA,1,480,17497,-17.0,0.0,1.0,17.0
SARSA,1,500,17862,-15.0,0.0,1.0,15.0
SARSA,2,1,500,-500.0,0.0,0.0,500.0
SARSA,2,20,3244,-500.0,0.0,0.0,500.0
SARSA,2,40,5484,-500.0,0.0,0.0,500.0
SARSA,2,60,6916,-500.0,0.0,0.0,500.0
SARSA,2,80,8133,-500.0,0.0,0.0,500.0
SARSA,2,100,8997,-500.0,0.0,0.0,500.0
SARSA,2,120,9819,-500.0,0.0,0.0,500.0
SARSA,2,140,10558,-500.0,0.0,0.0,500.0
SARSA,2,160,11147,-500.0,0.0,0.0,500.0
SARSA,2,180,11665,-500.0,0.0,0.0,500.0
SARSA,2,200,12180,-500.0,0.0,0.0,500.0
SARSA,2,220,12632,-500.0,0.0,0.0,500.0
