algorithm,seed,episode,cumulative_steps,epsilon,return,episode_length,success,events,td_target_mean,td_target_variance,td_error_mean,td_error_variance,first_success_step,setting
SARSA,0,1,2,1.0,0.0,2,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,2,25,0.95875,0.0,23,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,3,32,0.9175,0.0,7,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,4,41,0.87625,0.0,9,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,5,43,0.835,0.0,2,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,6,48,0.79375,0.0,5,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,7,70,0.7525,0.0,22,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,8,73,0.7112499999999999,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,9,78,0.67,0.0,5,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,10,83,0.62875,0.0,5,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,11,86,0.5874999999999999,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,12,106,0.54625,0.0,20,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,13,124,0.505,0.0,18,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,14,131,0.46375,0.0,7,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,15,138,0.4225,0.0,7,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,16,141,0.38125,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,17,154,0.3400000000000001,0.0,13,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,18,156,0.29874999999999996,0.0,2,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,19,163,0.25750000000000006,0.0,7,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,20,171,0.21625000000000005,0.0,8,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,21,187,0.17499999999999993,0.0,16,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,22,201,0.13375000000000004,0.0,14,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,23,209,0.09250000000000003,0.0,8,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,24,214,0.05125000000000002,0.0,5,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,25,227,0.010000000000000009,0.0,13,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,26,230,0.010000000000000009,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,27,232,0.010000000000000009,0.0,2,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,28,251,0.010000000000000009,0.0,19,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,29,259,0.010000000000000009,0.0,8,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,0,30,269,0.010000000000000009,0.0,10,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,1,1,12,1.0,0.0,12,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,1,2,18,0.95875,0.0,6,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,1,3,29,0.9175,0.0,11,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,1,4,40,0.87625,0.0,11,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,1,5,72,0.835,0.0,32,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,1,6,75,0.79375,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,1,7,93,0.7525,0.0,18,0,0,0.0,0.0,0.0,0.0,,deterministic
SARSA,1,8,101,0.7112499999999999,1.0,8,1,0,0.125,0.125,0.125,0.125,101.0,deterministic
SARSA,1,9,106,0.67,0.0,5,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,10,115,0.62875,0.0,9,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,11,122,0.5874999999999999,1.0,7,1,0,0.157,0.139543,0.1427142857142857,0.11287157142857145,101.0,deterministic
SARSA,1,12,124,0.54625,0.0,2,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,13,129,0.505,0.0,5,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,14,133,0.46375,0.0,4,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,15,143,0.4225,0.0,10,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,16,147,0.38125,0.0,4,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,17,156,0.3400000000000001,0.0,9,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,18,166,0.29874999999999996,0.0,10,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,19,173,0.25750000000000006,0.0,7,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,20,178,0.21625000000000005,0.0,5,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,21,181,0.17499999999999993,0.0,3,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,22,196,0.13375000000000004,0.0,15,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,23,204,0.09250000000000003,1.0,8,1,0,0.14973762499999999,0.122300974125125,0.124750125,0.08049293572869642,101.0,deterministic
SARSA,1,24,211,0.05125000000000002,0.0,7,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,25,228,0.010000000000000009,0.0,17,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,26,233,0.010000000000000009,0.0,5,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,27,244,0.010000000000000009,0.0,11,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,28,247,0.010000000000000009,0.0,3,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,29,254,0.010000000000000009,0.0,7,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
SARSA,1,30,261,0.010000000000000009,0.0,7,0,0,0.0,0.0,0.0,0.0,101.0,deterministic
Expected SARSA,0,1,2,1.0,0.0,2,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,2,25,0.95875,0.0,23,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,3,32,0.9175,0.0,7,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,4,41,0.87625,0.0,9,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,5,43,0.835,0.0,2,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,6,48,0.79375,0.0,5,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,7,70,0.7525,0.0,22,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,8,73,0.7112499999999999,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,9,78,0.67,0.0,5,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,10,83,0.62875,0.0,5,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,11,86,0.5874999999999999,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,12,106,0.54625,0.0,20,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,13,124,0.505,0.0,18,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,14,131,0.46375,0.0,7,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,15,138,0.4225,0.0,7,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,16,141,0.38125,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,17,154,0.3400000000000001,0.0,13,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,18,156,0.29874999999999996,0.0,2,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,19,163,0.25750000000000006,0.0,7,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,20,171,0.21625000000000005,0.0,8,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,21,187,0.17499999999999993,0.0,16,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,22,201,0.13375000000000004,0.0,14,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,23,209,0.09250000000000003,0.0,8,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,24,214,0.05125000000000002,0.0,5,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,25,227,0.010000000000000009,0.0,13,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,26,230,0.010000000000000009,0.0,3,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,27,232,0.010000000000000009,0.0,2,0,0,0.0,0.0,0.0,0.0,,deterministic
Expected SARSA,0,28,251,0.010000000000000009,0.0,19,0,0,0.0,0.0,0.0,0.0,,deterministic
