algorithm,seed,episode,cumulative_steps,eval_return,eval_return_std,eval_success_rate,eval_episode_length,setting
SARSA,0,1,2,0.0,0.0,0.0,7.78,deterministic
SARSA,0,200,1706,1.0,0.0,1.0,6.0,deterministic
SARSA,0,400,3111,1.0,0.0,1.0,6.0,deterministic
SARSA,0,600,4654,1.0,0.0,1.0,6.0,deterministic
SARSA,0,800,6238,1.0,0.0,1.0,6.0,deterministic
SARSA,0,1000,7696,1.0,0.0,1.0,6.0,deterministic
SARSA,0,1200,9190,1.0,0.0,1.0,6.0,deterministic
SARSA,0,1400,10679,1.0,0.0,1.0,6.0,deterministic
SARSA,0,1600,12170,1.0,0.0,1.0,6.0,deterministic
SARSA,0,1800,13667,1.0,0.0,1.0,6.0,deterministic
SARSA,0,2000,15158,1.0,0.0,1.0,6.0,deterministic
SARSA,0,2200,16576,1.0,0.0,1.0,6.0,deterministic
SARSA,0,2400,17950,1.0,0.0,1.0,6.0,deterministic
SARSA,0,2600,19292,1.0,0.0,1.0,6.0,deterministic
SARSA,0,2800,20656,1.0,0.0,1.0,6.0,deterministic
SARSA,0,3000,22020,1.0,0.0,1.0,6.0,deterministic
SARSA,0,3200,23320,1.0,0.0,1.0,6.0,deterministic
SARSA,0,3400,24621,1.0,0.0,1.0,6.0,deterministic
SARSA,0,3600,25869,1.0,0.0,1.0,6.0,deterministic
SARSA,0,3800,27108,1.0,0.0,1.0,6.0,deterministic
SARSA,0,4000,28341,1.0,0.0,1.0,6.0,deterministic
SARSA,0,4200,29553,1.0,0.0,1.0,6.0,deterministic
SARSA,0,4400,30765,1.0,0.0,1.0,6.0,deterministic
SARSA,0,4600,31968,1.0,0.0,1.0,6.0,deterministic
SARSA,0,4800,33170,1.0,0.0,1.0,6.0,deterministic
SARSA,0,5000,34382,1.0,0.0,1.0,6.0,deterministic
SARSA,1,1,12,0.02,0.14070529413628965,0.02,7.18,deterministic
SARSA,1,200,1581,1.0,0.0,1.0,6.0,deterministic
SARSA,1,400,3161,1.0,0.0,1.0,6.0,deterministic
SARSA,1,600,4711,1.0,0.0,1.0,6.0,deterministic
SARSA,1,800,6249,1.0,0.0,1.0,6.0,deterministic
SARSA,1,1000,7704,1.0,0.0,1.0,6.0,deterministic
SARSA,1,1200,9078,1.0,0.0,1.0,6.0,deterministic
SARSA,1,1400,10487,1.0,0.0,1.0,6.0,deterministic
SARSA,1,1600,11918,1.0,0.0,1.0,6.0,deterministic
SARSA,1,1800,13306,1.0,0.0,1.0,6.0,deterministic
