algorithm,seed,episode,cumulative_steps,epsilon,return,episode_length,success,events,td_target_mean,td_target_variance,td_error_mean,td_error_variance,first_success_step
Q-Learning,0,1,200,1.0,-893.0,200,0,77,-4.4738605,19.268054487024873,-3.9901124999999995,15.496096697874119,
Q-Learning,0,2,400,0.95875,-857.0,200,0,73,-4.29787,18.882751349849244,-3.8669556244999996,15.263854556901144,
Q-Learning,0,3,600,0.9175,-695.0,200,0,55,-3.5469744557949996,16.200236160693017,-2.9080251256838734,11.631019679475708,
Q-Learning,0,4,800,0.87625,-794.0,200,0,66,-3.997675449999999,18.018491692450045,-3.6732277394999993,15.47807184165321,
Q-Learning,0,5,977,0.835,-642.0,177,1,54,-3.671639,20.435911533638556,-3.2460331073389828,17.091846187532592,977.0
Q-Learning,0,6,1177,0.79375,-776.0,200,0,64,-3.9729388358305,17.744910285848086,-3.3834537391265,13.3095308485344,977.0
Q-Learning,0,7,1283,0.7525,-328.0,106,1,27,-3.099009433962264,20.615180009433963,-3.010424528301886,19.847449389487867,977.0
Q-Learning,0,8,1483,0.7112499999999999,-740.0,200,0,60,-3.756350976616,17.089016932390383,-3.3264027267065,13.843492567918881,977.0
Q-Learning,0,9,1683,0.67,-740.0,200,0,60,-3.720446965,17.049640263465125,-3.44066367,14.709893105771108,977.0
Q-Learning,0,10,1883,0.62875,-641.0,200,0,49,-3.2643629048980007,14.994920063675357,-3.0251009559993998,13.491701526752706,977.0
Q-Learning,0,11,2083,0.5874999999999999,-713.0,200,0,57,-3.5805915099999996,16.58995450937078,-3.3211138600000005,14.361994147414485,977.0
Q-Learning,0,12,2283,0.54625,-542.0,200,0,38,-2.9521779382063427,12.460895617390833,-2.384935805640384,8.957695951541861,977.0
Q-Learning,0,13,2483,0.505,-722.0,200,0,58,-3.6920226721204,16.70955247465799,-3.3194607444154,13.96120573825378,977.0
Q-Learning,0,14,2683,0.46375,-587.0,200,0,43,-3.0311241909755053,13.615518077889009,-2.714089068626005,11.368514442036124,977.0
Q-Learning,0,15,2883,0.4225,-470.0,200,0,30,-2.5535017653562133,10.264903353723104,-2.0858401818715073,7.4332334248357075,977.0
Q-Learning,0,16,3083,0.38125,-596.0,200,0,44,-3.028943224,13.90116450995265,-2.8403814240000003,12.572525637646978,977.0
Q-Learning,0,17,3283,0.3400000000000001,-587.0,200,0,43,-3.0557260461825693,13.533075888457175,-2.7610503771936026,12.000673504961254,977.0
Q-Learning,0,18,3483,0.29874999999999996,-452.0,200,0,28,-2.4890420513076057,9.83507695922866,-1.9681004606937078,6.485195664773279,977.0
Q-Learning,0,19,3683,0.25750000000000006,-551.0,200,0,39,-2.8424863499949997,12.557545731682202,-2.590188697045,11.102336093515438,977.0
Q-Learning,0,20,3883,0.21625000000000005,-524.0,200,0,36,-2.7419221829536196,11.776696672875728,-2.484782571443948,10.57809371995458,977.0
Q-Learning,0,21,4083,0.17499999999999993,-731.0,200,0,59,-3.68707303,16.8608652201303,-3.52757753,15.625883417864452,977.0
Q-Learning,0,22,4283,0.13375000000000004,-272.0,200,0,8,-1.7448847490702573,3.1865855853072254,-1.2863978936443163,2.2979290637043817,977.0
Q-Learning,0,23,4483,0.09250000000000003,-497.0,200,0,33,-2.73598200288926,10.769283746180815,-2.357253972640484,9.89475124140465,977.0
Q-Learning,0,24,4683,0.05125000000000002,-731.0,200,0,59,-3.6788080149999995,16.8682394017445,-3.5482600149999994,15.752183250468555,977.0
Q-Learning,0,25,4871,0.010000000000000009,-437.0,188,1,30,-2.4135165971021277,13.421739124151605,-2.258153496729787,12.482890888847715,977.0
Q-Learning,0,26,5071,0.010000000000000009,-389.0,200,0,21,-2.07312619303,7.417463357264682,-1.9042250381305001,7.301609704777209,977.0
Q-Learning,0,27,5271,0.010000000000000009,-218.0,200,0,2,-1.4368102306266084,0.7956170158134022,-1.0674888042849573,0.7656005606674331,977.0
Q-Learning,0,28,5471,0.010000000000000009,-596.0,200,0,44,-3.0334050549999994,13.823126426922116,-2.913365455,13.262244124059796,977.0
Q-Learning,0,29,5671,0.010000000000000009,-200.0,200,0,0,-1.532510904757752,0.011395243643873272,-0.9797349702369554,0.003119066042333599,977.0
