algorithm,seed,episode,cumulative_steps,eval_return,eval_return_std,eval_success_rate,eval_episode_length
Q-Learning,0,1,200,-790.18,114.99488719779089,0.02,197.68
Q-Learning,0,400,78123,-178.8,64.24824304752526,0.1,180.9
Q-Learning,0,800,150366,-145.4,93.05473482563575,0.26,150.86
Q-Learning,0,1200,209404,-27.8,81.52625719512027,0.82,45.02
Q-Learning,0,1600,251300,-32.66,84.55395813759812,0.8,49.46
Q-Learning,0,2000,282948,4.06,29.557560585324055,0.98,16.52
Q-Learning,0,2400,306723,-0.42,41.246936806487426,0.96,20.58
Q-Learning,0,2800,326739,8.18,2.5450231545396313,1.0,12.82
Q-Learning,0,3200,343863,7.78,2.63640138159916,1.0,13.22
Q-Learning,0,3600,358349,8.88,2.4128905520819903,1.0,12.12
Q-Learning,0,4000,370448,7.96,2.769808068205066,1.0,13.04
Q-Learning,0,4400,381572,7.84,2.3935286904143713,1.0,13.16
Q-Learning,0,4800,391542,8.14,2.4412275266215344,1.0,12.86
Q-Learning,0,5200,400407,7.2,2.040408122440814,1.0,13.8
Q-Learning,0,5600,408698,7.54,2.400765184141872,1.0,13.46
Q-Learning,0,6000,416222,7.94,2.736077931817658,1.0,13.06
Q-Learning,0,6400,423331,8.14,3.0034673839631774,1.0,12.86
Q-Learning,0,6800,429811,8.34,2.352679757386527,1.0,12.66
Q-Learning,0,7200,436046,7.98,2.535382272026473,1.0,13.02
Q-Learning,0,7600,441829,8.06,2.787801415935841,1.0,12.94
Q-Learning,0,8000,447330,7.32,2.342508684887958,1.0,13.68
Q-Learning,0,8400,452665,8.14,2.563559387783688,1.0,12.86
Q-Learning,0,8800,457859,8.34,2.8183799080539957,1.0,12.66
Q-Learning,0,9200,463173,7.9,2.3754698783308417,1.0,13.1
Q-Learning,0,9600,468484,8.32,2.1706765615111516,1.0,12.68
Q-Learning,0,10000,473787,8.12,2.5765029297361135,1.0,12.88
Q-Learning,1,1,200,-773.96,85.89503798835185,0.02,198.74
Q-Learning,1,400,77727,-182.98,58.30584036276437,0.08,184.66
Q-Learning,1,800,150075,-132.74,99.04911377077288,0.32,139.46
Q-Learning,1,1200,212209,-57.56,98.71504237874153,0.68,71.84
Q-Learning,1,1600,257736,-15.98,68.68962729524148,0.88,34.46
Q-Learning,1,2000,288531,-0.2,41.27261284954675,0.96,20.36
Q-Learning,1,2400,312390,7.86,2.672688778388245,1.0,13.14
Q-Learning,1,2800,332124,3.6,29.465303012741156,0.98,16.98
Q-Learning,1,3200,349314,7.62,2.3980434201444223,1.0,13.38
Q-Learning,1,3600,363804,7.94,2.427815008250364,1.0,13.06
Q-Learning,1,4000,376309,7.64,2.4970186304503867,1.0,13.36
Q-Learning,1,4400,387502,8.1,2.6438222176173922,1.0,12.9
Q-Learning,1,4800,397896,7.58,2.2775747932341344,1.0,13.42
Q-Learning,1,5200,406945,7.92,2.754143446236775,1.0,13.08
Q-Learning,1,5600,415386,8.2,2.8855728395320224,1.0,12.8
Q-Learning,1,6000,423098,8.08,2.5780866184527036,1.0,12.92
Q-Learning,1,6400,430233,8.78,2.667185323711198,1.0,12.22
Q-Learning,1,6800,436661,7.12,2.3442504567732585,1.0,13.88
Q-Learning,1,7200,442798,7.32,2.574918266981042,1.0,13.68
Q-Learning,1,7600,448516,8.14,2.618692616632995,1.0,12.86
Q-Learning,1,8000,453905,8.38,2.9615908576579693,1.0,12.62
Q-Learning,1,8400,459147,7.36,2.804951889434258,1.0,13.64
Q-Learning,1,8800,464471,8.2,3.023715784073818,1.0,12.8
Q-Learning,1,9200,469742,8.08,2.5220658846530184,1.0,12.92
Q-Learning,1,9600,475008,7.6,2.7627256579733883,1.0,13.4
Q-Learning,1,10000,480231,8.52,2.7718703624308354,1.0,12.48
Q-Learning,2,1,200,-762.4,134.1496270922122,0.08,192.4
Q-Learning,2,400,77983,-191.44,42.36101403654168,0.04,192.28
Q-Learning,2,800,151812,-153.66,88.14473487233532,0.22,158.28
Q-Learning,2,1200,213098,-78.68,104.29480195237782,0.58,90.86
Q-Learning,2,1600,256675,-20.8,73.06189715800248,0.86,38.86
Q-Learning,2,2000,288718,4.58,29.609768106942997,0.98,16.0
Q-Learning,2,2400,314940,8.32,2.419647469684586,1.0,12.68
Q-Learning,2,2800,335583,7.54,2.476089741540735,1.0,13.46
Q-Learning,2,3200,351892,7.36,2.7087160901694474,1.0,13.64
Q-Learning,2,3600,366666,8.3,3.111860130113138,1.0,12.7
Q-Learning,2,4000,379343,7.98,2.486617241579904,1.0,13.02
Q-Learning,2,4400,390603,6.66,2.076201397961662,1.0,14.34
Q-Learning,2,4800,400681,8.06,2.436206485669129,1.0,12.94
Q-Learning,2,5200,409519,8.42,3.0844574159842777,1.0,12.58
Q-Learning,2,5600,417935,8.04,2.539162645199301,1.0,12.96
Q-Learning,2,6000,425617,7.92,2.640655453573941,1.0,13.08
